model,domain,item,pred_date,horizon,horizon_days,target_date,adjusted_target_date,unit,current_value,point_estimate,ci_50_low,ci_50_high,ci_80_low,ci_80_high,ci_90_low,ci_90_high,actual_value,adjustment_note,status,fetched_at
claude,crypto,ADA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,0.247551,0.248,0.239,0.257,0.231,0.266,0.225,0.272,0.24608197985742547,,resolved,2026-04-06T17:21:43.968357Z
claude,crypto,AVAX,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,8.96,8.85,8.5,9.25,8.1,9.7,7.8,10.1,8.905586351464589,,resolved,2026-04-06T17:21:47.123493Z
claude,crypto,BNB,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,588.59,585.0,570.0,605.0,550.0,625.0,535.0,640.0,588.1023061457563,,resolved,2026-04-06T17:21:50.176345Z
claude,crypto,BTC,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,66793.0,67200.0,65500.0,68900.0,63800.0,70600.0,62500.0,72000.0,66939.69121715311,,resolved,2026-04-06T17:21:53.226620Z
claude,crypto,DOGE,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,0.091766,0.0912,0.0885,0.0948,0.0855,0.0978,0.083,0.1005,0.09156002686470996,,resolved,2026-04-06T17:21:56.275159Z
claude,crypto,DOT,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,1.25,1.25,1.2,1.3,1.14,1.37,1.1,1.42,,CoinGecko failed for polkadot on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/polkadot/history?date=04-04-2026&localization=false,failed,2026-04-06T17:21:59.322968Z
claude,crypto,ETH,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,2048.98,2060.0,1990.0,2130.0,1920.0,2200.0,1870.0,2260.0,,CoinGecko failed for ethereum on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/ethereum/history?date=04-04-2026&localization=false,failed,2026-04-06T17:22:22.446382Z
claude,crypto,LINK,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,8.69,8.65,8.35,8.95,7.95,9.35,7.65,9.65,8.663488656751147,,resolved,2026-04-06T17:22:45.564561Z
claude,crypto,SOL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,80.12,80.5,77.5,83.5,74.0,87.0,71.0,90.0,80.34433585896339,,resolved,2026-04-06T17:23:03.700071Z
claude,crypto,XRP,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,1.32,1.32,1.26,1.38,1.19,1.46,1.14,1.52,1.3177591466741263,,resolved,2026-04-06T17:23:06.748471Z
claude,forex,AUD/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.6890089511871338,0.6888,0.6865,0.6915,0.6845,0.6935,0.683,0.695,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:09.802310Z
claude,forex,EUR/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.1522064208984375,1.1525,1.1481,1.1569,1.1445,1.1605,1.1423,1.1627,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.267037Z
claude,forex,GBP/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.3192298412322998,1.319,1.3165,1.3215,1.314,1.3245,1.312,1.3265,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.423044Z
claude,forex,NZD/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.5686988234519958,0.5687,0.5667,0.5707,0.5652,0.5722,0.5642,0.5732,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.509733Z
claude,forex,USD/CAD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.3944000005722046,1.3944,1.391,1.3978,1.3878,1.401,1.3855,1.4033,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.677235Z
claude,forex,USD/CHF,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.7994199991226196,0.7985,0.7958,0.8012,0.7933,0.8037,0.7919,0.8051,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.845088Z
claude,forex,USD/CNY,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,6.881899833679199,6.885,6.87,6.9,6.855,6.915,6.84,6.93,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.996152Z
claude,forex,USD/JPY,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,159.6320037841797,159.3,158.65,159.95,158.07,160.53,157.72,160.88,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.083227Z
claude,forex,USD/MXN,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,17.84712028503418,17.87,17.81,17.93,17.755,17.99,17.72,18.02,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.189056Z
claude,forex,USD/SGD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.2848999500274658,1.2845,1.2818,1.2872,1.2791,1.2899,1.2771,1.2919,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.283306Z
claude,stocks,AAPL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,255.9199981689453,254.5,251.0,258.5,247.0,263.0,243.0,267.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.543489Z
claude,stocks,AMZN,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,209.77000427246094,208.5,204.0,213.5,199.0,218.5,195.0,222.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.819558Z
claude,stocks,BRK-B,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,477.3500061035156,477.5,474.13,480.87,471.23,483.77,469.5,485.5,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.927235Z
claude,stocks,GOOGL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,295.7699890136719,294.5,290.0,299.5,284.0,305.0,279.0,310.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.061913Z
claude,stocks,JPM,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,294.6000061035156,289.0,284.0,294.5,278.0,298.5,272.0,302.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.226755Z
claude,stocks,META,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,574.4600219726562,571.0,561.0,581.0,551.0,591.0,544.0,598.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.512913Z
claude,stocks,MSFT,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,373.4599914550781,371.0,364.5,377.5,357.0,384.0,351.0,389.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.682580Z
claude,stocks,NVDA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,177.38999938964844,176.0,171.0,181.5,165.0,187.0,160.0,192.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.893630Z
claude,stocks,SPY,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,655.8300170898438,652.0,644.0,660.0,636.0,668.0,630.0,674.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:13.018101Z
claude,stocks,TSLA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,360.5899963378906,358.0,348.0,368.0,338.0,378.0,330.0,386.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:13.469791Z
claude,weather,Berlin,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,43.6,45.0,42.0,48.0,39.0,51.0,37.0,53.0,51.9,,resolved,2026-04-06T17:23:13.604486Z
claude,weather,Dubai,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,72.7,73.5,71.5,75.5,69.5,77.5,68.0,79.0,72.0,,resolved,2026-04-06T17:23:14.107150Z
claude,weather,Lagos,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,81.3,81.5,80.5,82.5,79.5,83.5,78.8,84.2,82.8,,resolved,2026-04-06T17:23:14.574118Z
